"rank","title","year","imdbid","dbid"
"1","The Shawshank Redemption","1994","tt0111161","1292052"
"2","The Godfather","1972","tt0068646","1291841"
"3","The Dark Knight","2008","tt0468569","1851857"
"4","The Godfather Part II","1974","tt0071562","1299131"
"5","12 Angry Men","1957","tt0050083","1293182"
"6","The Lord of the Rings: The Return of the King","2003","tt0167260","1291552"
"7","Schindler's List","1993","tt0108052","1295124"
"8","The Lord of the Rings: The Fellowship of the Ring","2001","tt0120737","1291571"
"9","Pulp Fiction","1994","tt0110912","1291832"
"10","The Good, the Bad and the Ugly","1966","tt0060196","1401118"
"11","The Lord of the Rings: The Two Towers","2002","tt0167261","1291572"
"12","Forrest Gump","1994","tt0109830","1292720"
"13","Fight Club","1999","tt0137523","1292000"
"14","Inception","2010","tt1375666","3541415"
"15","Star Wars: Episode V - The Empire Strikes Back","1980","tt0080684","1296528"
"16","The Matrix","1999","tt0133093","1291843"
"17","Goodfellas","1990","tt0099685","1292268"
"18","Interstellar","2014","tt0816692","1889243"
"19","One Flew Over the Cuckoo's Nest","1975","tt0073486","1292224"
"20","Se7en","1995","tt0114369","1292223"
"21","It's a Wonderful Life","1946","tt0038650","1293749"
"22","The Silence of the Lambs","1991","tt0102926","1293544"
"23","Seven Samurai","1954","tt0047478","1295399"
"24","Saving Private Ryan","1998","tt0120815","1292849"
"25","The Green Mile","1999","tt0120689","1300374"
"26","City of God","2002","tt0317248","1292208"
"27","Life Is Beautiful","1997","tt0118799","1292063"
"28","Terminator 2: Judgment Day","1991","tt0103064","1291844"
"29","Star Wars: Episode IV - A New Hope","1977","tt0076759","1293838"
"30","Back to the Future","1985","tt0088763","1300555"
"31","Spirited Away","2001","tt0245429","1291561"
"32","The Pianist","2002","tt0253474","1296736"
"33","Gladiator","2000","tt0172495","1293530"
"34","Parasite","2019","tt6751668","27010768"
"35","Psycho","1960","tt0054215","1293181"
"36","Grave of the Fireflies","1988","tt0095327","1293318"
"37","The Lion King","1994","tt0110357","1301753"
"38","Harakiri","1962","tt0056058","1304920"
"39","The Departed","2006","tt0407887","1315316"
"40","Whiplash","2014","tt2582802","25773932"
"41","The Prestige","2006","tt0482571","1780330"
"42","American History X","1998","tt0120586","1293527"
"43","Léon: The Professional","1994","tt0110413","1295644"
"44","Spider-Man: Across the Spider-Verse","2023","tt9362722","30391186"
"45","Cinema Paradiso","1988","tt0095765","1291828"
"46","Casablanca","1942","tt0034583","1296753"
"47","The Intouchables","2011","tt1675434","6786002"
"48","The Usual Suspects","1995","tt0114814","1292214"
"49","Alien","1979","tt0078748","1300868"
"50","Modern Times","1936","tt0027977","1294371"
"51","Rear Window","1954","tt0047396","1299080"
"52","Django Unchained","2012","tt1853728","6307447"
"53","Once Upon a Time in the West","1968","tt0064116","1293394"
"54","City Lights","1931","tt0021749","1293908"
