"spine","title","year","ccid","dbid"
"0001","Grand Illusion","1937","351","1294808"
"0002","Seven Samurai","1954","165","1295399"
"0003","The Lady Vanishes","1938","358","1292760"
"0004","Amarcord","1973","208","1298672"
"0005","The 400 Blows","1959","151","1300056"
"0006","Beauty and the Beast","1946","177","1295913"
"0007","A Night to Remember","1958","521","1292890"
"0008","The Killer","1989","231","1296519"
"0009","Hard Boiled","1992","523","1293147"
"0010","Walkabout","1971","522","1295835"
"0011","The Seventh Seal","1957","173","1293234"
"0012","This Is Spinal Tap","1984","317","1293095"
"0013","The Silence of the Lambs","1991","528","1293544"
"0014","Samurai I: Musashi Miyamoto","1954","529","1296228"
"0015","Samurai II: Duel at Ichijoji Temple","1955","530","1304858"
"0016","Samurai III: Duel at Ganryu Island","1956","531","1304859"
"0017","Salò, or The 120 Days of Sodom","1976","532","1293691"
"0018","The Naked Kiss","1964","533","1294823"
"0019","Shock Corridor","1963","534","1298471"
"0020","Sid & Nancy","1986","535","1293694"
"0021","Dead Ringers","1988","541","1293297"
"0022","Summertime","1955","368","1293491"
"0023","RoboCop","1987","542","1294791"
"0024","High and Low","1963","543","1293663"
"0025","Alphaville","1965","207","1316524"
"0026","The Long Good Friday","1979","559","1292848"
"0027","Flesh for Frankenstein","1973","562","1298855"
"0028","Blood for Dracula","1974","564","1297364"
"0029","Picnic at Hanging Rock","1975","565","1299539"
"0030","M","1931","558","1293381"
"0031","Great Expectations","1946","566","1297550"
"0032","Oliver Twist","1948","567","1299785"
"0033","Nanook of the North","1922","574","1292735"
"0034","Andrei Rublev","1966","300","1298248"
"0035","Diabolique","1955","575","1293213"
"0036","The Wages of Fear","1953","370","1299932"
"0037","Time Bandits","1981","232","1292948"
"0038","Branded to Kill","1967","576","1401331"
"0039","Tokyo Drifter","1966","577","1296517"
"0040","Armageddon","1998","578","1292769"
"0041","Henry V","1944","579","1297375"
"0042","Fishing with John","1992","580","1424546"
"0043","Lord of the Flies","1963","563","1421051"
"0044","The Red Shoes","1948","233","1299204"
"0045","Taste of Cherry","1997","242","1296177"
"0046","The Most Dangerous Game","1932","584","1298019"
"0047","Insomnia","1997","585","1294665"
"0048","Black Orpheus","1959","344","1295967"
"0049","Nights of Cabiria","1957","243","1294781"
"0050","And the Ship Sails On","1984","587","1303533"
"0051","Brazil","1985","211","1293823"
"0052","Yojimbo","1961","597","1292515"
"0053","Sanjuro","1962","598","1293310"
"0054","For All Mankind","1989","599","1416870"
"0055","The Unbearable Lightness of Being","1988","600","1291859"
"0056","The 39 Steps","1935","234","1298412"
"0057","Charade","1963","603","1295187"
"0058","Peeping Tom","1960","235","1299665"
"0059","The Night Porter","1974","604","1304687"
"0060","Autumn Sonata","1978","605","1297268"
"0061","Monty Python’s Life of Brian","1979","606","1292881"
"0062","The Passion of Joan of Arc","1928","228","1293783"
"0063","Carnival of Souls","1962","607","1447032"
"0064","The Third Man","1949","236","1295451"
"0065","Rushmore","1998","333","1296835"
"0067","The Blood of a Poet","1930","609","1303263"
"0068","Orpheus","1950","610","1436764"
"0069","Testament of Orpheus","1959","611","1419169"
"0070","The Last Temptation of Christ","1988","612","1292889"
"0071","The Magic Flute","1975","613","1292928"
"0072","Le million","1931","614","1296419"
"0073","Cléo from 5 to 7","1962","244","1294565"
"0074","Vagabond","1985","245","1292445"
"0075","Chasing Amy","1997","615","1294058"
"0076","Brief Encounter","1945","345","1294364"
"0077","And God Created Woman","1956","616","1293758"
"0078","The Bank Dick","1940","617","1752120"
"0079","W. C. Fields—Six Short Films","1933","618","1752128"
"0079","Pool Sharks","1915","618","1946486"
"0079","The Golf Specialist","1930","618","1946487"
"0079","The Dentist","1932","618","1946532"
"0079","The Fatal Glass of Beer","1933","618","1946533"
"0079","The Barber Shop","1933","618","1946537"
"0079","The Pharmacist","1933","618","1946535"
"0080","The Element of Crime","1984","619","1298734"
"0081","Variety Lights","1950","620","1294343"
"0082","Hamlet","1948","621","1296390"
"0083","The Harder They Come","1973","623","1301883"
"0084","Good Morning","1959","624","1298063"
"0085","Pygmalion","1938","365","1300614"
"0086","Ivan the Terrible, Part I","1944","625","1298182"
"0087","Alexander Nevsky","1938","341","1299973"
"0088","Ivan the Terrible, Part II","1958","354","1474367"
"0089","Sisters","1973","377","1293568"
"0090","Kwaidan","1965","629","1303083"
"0091","The Blob","1958","630","1440617"
"0092","Fiend Without a Face","1958","631","1752145"
"0093","Black Narcissus","1947","632","1292733"
"0094","I Know Where I’m Going!","1945","633","1308333"
"0095","All That Heaven Allows","1955","635","1303345"
"0096","Written on the Wind","1956","636","1303302"
"0097","Do the Right Thing","1989","286","1293958"
"0098","L’avventura","1960","209","1389923"
"0099","Gimme Shelter","1970","637","1419271"
"0100","Beastie Boys Video Anthology","2000","638","1440130"
"0101","Cries and Whispers","1972","237","1296147"
"0102","The Discreet Charm of the Bourgeoisie","1972","310","1303364"
"0103","The Lady Eve","1941","639","1303415"
"0104","Double Suicide","1969","640","1294378"
"0105","Spartacus","1960","449","1298366"
"0106","Coup de torchon","1981","647","1303063"
"0107","Mona Lisa","1986","648","1299557"
"0108","The Rock","1996","649","1292728"
"0109","The Scarlet Empress","1934","431","1298465"
"0110","Monsieur Hulot’s Holiday","1953","360","1305790"
"0111","Mon oncle","1958","650","1400829"
"0112","PlayTime","1967","651","1303543"
"0113","Big Deal on Madonna Street","1958","652","1303089"
"0114","My Man Godfrey","1936","653","1300241"
"0115","Rififi","1955","654","1299885"
"0116","The Hidden Fortress","1958","655","1303110"
"0117","Diary of a Chambermaid","1964","656","1298474"
"0118","Sullivan’s Travels","1941","657","1303416"
