"rank","title","year","bfid","dbid"
"1","Vertigo","1958","4ce2b6b9caca4","1297294"
"2","Citizen Kane","1941","4ce2b6a7a801b","1292288"
"3","Tokyo Story","1953","4ce2b6b8908e4","1291568"
"4","Règle du jeu, La","1939","4ce2b6b41d658","1401261"
"5","Sunrise","1927","4ce2b6b7568ee","1295753"
"6","2001: A Space Odyssey","1968","4ce2b6b9450a5","1292226"
"7","Searchers, The","1956","4ce2b6b54abdf","1292668"
"8","Man with a Movie Camera","1929","4ce2b6a21d217","1293199"
"9","Passion of Joan of Arc","1927","4ce2b754db651","1293783"
"10","8½","1963","4ce2b6b25bb2b","1361276"
"11","Battleship Potemkin","1925","4ce2b6a68bd9d","1293492"
"12","Atalante, L'","1934","4ce2b6a439bc9","1299433"
"13","Breathless","1960","4ce2b6bfd1ebb","1353745"
"14","Apocalypse Now","1979","4ce2b69562aa2","1292260"
"15","Late Spring","1949","4ce2b6a498bd1","1307265"
"16","Au Hasard Balthazar","1966","4ce2b6a44b82c","1401619"
"17","Seven Samurai","1954","4ce2b6b5b6382","1295399"
"17","Persona","1966","4ce2b6b2deaa5","1294438"
"19","Mirror","1974","4ce2b6bb90873","1299248"
"20","Singin' in the Rain","1951","4ce2b6b6036b6","1293460"
"21","Avventura, L'","1960","4ce2b6a6e45a7","1389923"
"21","Godfather: Part I, The","1972","4ce2b6ab4237b","1291841"
"21","mépris, Le","1963","4ce2b6b049967","1303555"
"24","Rashomon","1950","4ce2b6b3ec3fe","1291879"
"24","Ordet","1955","4ce2b752105a2","1303566"
"24","In The Mood For Love","2000","4ce2b8485aac9","1291557"
"27","Andrei Rublev","1966","4ce2b6b7433c1","1298248"
"28","Mulholland Dr","2001","4ce2b8379038e","1292217"
"29","Stalker","1979","4ce2b6bf3bbfd","1295656"
"29","Shoah","1985","4ce2b76b0507b","1303328"
"31","Taxi Driver","1976","4ce2b6b7bc1b8","1292222"
"31","Godfather: Part II, The","1974","4ce2b6ab42667","1299131"
"33","Bicycle Thieves, The","1948","4ce2b6ae61fec","1295873"
"34","Psycho","1960","4ce2b6b39fc24","1293181"
"34","General, The","1926","4ce2b6aae85f3","1292778"
"36","Sátántangó","1994","4ce2b7d2993a2","1422088"
"36","Metropolis","1927","4ce2b6b0544c6","1298107"
"36","Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles","1975","4ce2b73116007","1868933"
"39","dolce vita, La","1960","4ce2b6a90d39d","1293271"
"39","400 Blows, The","1959","4ce2b6b3b75b7","1300056"
"41","Pather Panchali","1955","4ce2b6b2b59cc","1306019"
"41","Journey to Italy","1954","4ce2b6b9d14d8","1303576"
"43","Pierrot le Fou","1965","4ce2b6b310bc0","1292533"
"43","Close-Up","1989","4ce2b7a39630e","1303521"
"43","Some Like It Hot","1959","4ce2b76e98a5c","1292574"
"43","Playtime","1967","4ce2b6b3291db","1303543"
"43","Gertrud","1964","4ce2b6ab03131","1420116"
"48","Histoire(s) du cinéma","1989","Histoire","1439723"
"48","Battle of Algiers, The","1966","4ce2b6f24787d","1419005"
"50","City Lights","1931","4ce2b6bbb8e51","1293908"
"50","Ugetsu Monogatari","1953","4ce2b6b94daff","1303577"
"50","Jetée, La","1962","4ce2b7b9372f0","1306626"
"53","North by Northwest","1959","4ce2b6bf4e912","1295872"
