"rank","title","year","film_id","imdbid","dbid"
"1","Harakiri","1962","43015","tt0056058","1304920"
"2","12 Angry Men","1957","51700","tt0050083","1293182"
"3","Come and See","1985","36192","tt0091251","1422186"
"4","Seven Samurai","1954","51716","tt0047478","1295399"
"5","High and Low","1963","44542","tt0057565","1293663"
"6","The Godfather Part II","1974","51816","tt0071562","1299131"
"7","The Human Condition III: A Soldier's Prayer","1961","29108","tt0055233","1441039"
"8","The Shawshank Redemption","1994","51778","tt0111161","1292052"
"9","Parasite","2019","426406","tt6751668","27010768"
"10","Yi Yi","2000","35988","tt0244316","1292434"
"11","City of God","2002","51523","tt0317248","1292208"
"12","The Godfather","1972","51818","tt0068646","1291841"
"13","Schindler's List","1993","51671","tt0108052","1295124"
"14","The Lord of the Rings: The Return of the King","2003","51928","tt0167260","1291552"
"15","The Human Condition I: No Greater Love","1959","31363","tt0053114","1298561"
"16","Ikiru","1952","49595","tt0044741","1293847"
"17","Ran","1985","45108","tt0089881","1296196"
"18","La Haine","1995","51684","tt0113247","1306449"
"19","A Brighter Summer Day","1991","42089","tt0101985","1292329"
"20","The Good, the Bad and the Ugly","1966","51666","tt0060196","1401118"
"21","The Dark Knight","2008","51896","tt0468569","1851857"
"22","Le Trou","1960","33012","tt0054407","1424334"
"23","Autumn Sonata","1978","44320","tt0077711","1297268"
"24","Cinema Paradiso","1988","45493","tt0095765","1291828"
"25","GoodFellas","1990","51383","tt0099685","1292268"
"26","Neon Genesis Evangelion: The End of Evangelion","1997","40311","tt0169858","1308892"
"27","Grave of the Fireflies","1988","44558","tt0095327","1293318"
"28","Woman in the Dunes","1964","41440","tt0058625","1295812"
"29","There Will Be Blood","2007","48044","tt0469494","1945780"
"30","Spirited Away","2001","51921","tt0245429","1291561"
"31","Paths of Glory","1957","51194","tt0050825","1292969"
"32","Apocalypse Now","1979","2690","tt0078788","1292260"
"33","Andrei Rublev","1966","51257","tt0060107","1298248"
"34","Tokyo Story","1953","40554","tt0046438","1291568"
"35","The Apartment","1960","51774","tt0053604","1394218"
"36","Sunset Boulevard","1950","51522","tt0043014","1298733"
"37","The Human Condition II: Road to Eternity","1959","29110","tt0053115","1441038"
"38","The Passion of Joan of Arc","1928","51372","tt0019254","1293783"
"39","Spider-Man: Across the Spider-Verse","2023","497631","tt9362722","30391186"
"40","Portrait of a Lady on Fire","2019","460830","tt8613070","30257175"
"41","The Cranes Are Flying","1957","26201","tt0050634","1302077"
"42","Whiplash","2014","171384","tt2582802","25773932"
"43","ミシマ:ア・ライフ・イン・フォー・チャプターズ","1985","34829","tt0089603","1305345"
"44","Incendies","2010","18627","tt1255953","4935242"
"45","Fanny and Alexander","1982","48536","tt0083922","1292784"
"46","Close-Up","1990","32348","tt0100234","1303521"
"47","Memories of Murder","2003","45312","tt0353969","1300299"
"48","Stalker","1979","51062","tt0079944","1295656"
"49","The Battle of Algiers","1966","41081","tt0058946","1419005"
"50","It's a Wonderful Life","1946","50949","tt0038650","1293749"
"51","The Lord of the Rings: The Two Towers","2002","51929","tt0167261","1291572"
"52","Dune: Part Two","2024","617443","tt15239678","35575567"
"53","Spider-Man: Into the Spider-Verse","2018","251943","tt4633694","26374197"
"54","The Ascent","1977","15466","tt0075404","1303255"
"55","The Empire Strikes Back","1980","50713","tt0080684","1296528"
"56","Sansho the Bailiff","1954","38951","tt0047445","1303573"
"57","Interstellar","2014","117621","tt0816692","1889243"
"58","The Handmaiden","2016","216086","tt4016934","25977027"
"59","Persona","1966","51355","tt0060827","1294438"
"60","The Red Shoes","1948","39579","tt0040725","1299204"
"61","Do the Right Thing","1989","51228","tt0097216","1293958"
"62","A Woman Under the Influence","1974","32502","tt0072417","1293525"
"63","I Am Cuba","1964","30720","tt0058604","1432669"
"64","Barry Lyndon","1975","49811","tt0072684","1292472"
"65","In the Mood for Love","2000","51309","tt0118694","1291557"
"66","Perfect Blue","1997","46175","tt0156887","1395091"
"67","Once Upon a Time in the West","1968","51727","tt0064116","1293394"
"68","Paris, Texas","1984","51469","tt0087884","1302061"
"69","The Pianist","2002","51672","tt0253474","1296736"
"70","Nights of Cabiria","1957","39638","tt0050783","1294781"
"71","Oldboy","2003","51454","tt0364569","1308865"
"72","Nobody Knows","2004","50220","tt0408664","1292337"
"73","Princess Mononoke","1997","51922","tt0119698","1297359"
"74","The Lord of the Rings: The Fellowship of the Ring","2001","51930","tt0120737","1291571"
"75","It's Such a Beautiful Day","2012","420137","tt2396224","19965194"
"76","Lawrence of Arabia","1962","60299","tt0056172","1292349"
"77","Love Exposure","2008","33686","tt1128075","2361266"
"78","Sherlock Jr.","1924","51177","tt0015324","1303408"
"79","Eternity and a Day","1998","36471","tt0156794","1293455"
"80","Rear Window","1954","51552","tt0047396","1299080"
"81","Scenes from a Marriage","1974","103302","tt6725014",""
"82","Satantango","1994","31197","tt0111341","1422088"
"83","Witness for the Prosecution","1957","27175","tt0051201","1296141"
"84","A Separation","2011","6345","tt1832382","5964718"
"85","Red Beard","1965","49596","tt0058888","1296679"
"86","Life Is Beautiful","1997","51487","tt0118799","1292063"
"87","Where Is the Friend's House?","1987","15669","tt0093342","1301897"
"88","One Flew Over the Cuckoo's Nest","1975","51600","tt0073486","1292224"
"89","The Thing","1982","51155","tt0084787","1296794"
"90","Paper Moon","1973","45440","tt0070510","1303357"
"91","All About Eve","1950","51421","tt0042192","1401385"
"92","Landscape in the Mist","1988","17630","tt0096288","1294252"
"93","I'm Still Here","2024","901671","tt14961016",""
"94","A Man Escaped","1956","42507","tt0049902","1303562"
