"rank","title","original_title","year","rating_num","rating_count","dbid"
"1","肖申克的救赎","The Shawshank Redemption","1994","9.7","3318450","1292052"
"2","霸王别姬","霸王别姬","1993","9.6","2447898","1291546"
"3","泰坦尼克号","Titanic","1997","9.5","2525049","1292722"
"4","阿甘正传","Forrest Gump","1994","9.5","2452829","1292720"
"5","千与千寻","千と千尋の神隠し","2001","9.4","2563844","1291561"
"6","星际穿越","Interstellar","2014","9.4","2217830","1889243"
"7","美丽人生","La vita è bella","1997","9.5","1495745","1292063"
"8","这个杀手不太冷","Léon","1994","9.4","2572903","1295644"
"9","盗梦空间","Inception","2010","9.4","2351077","3541415"
"10","楚门的世界","The Truman Show","1998","9.4","2045254","1292064"
"11","辛德勒的名单","Schindler's List","1993","9.5","1258273","1295124"
"12","忠犬八公的故事","Hachi: A Dog's Tale","2009","9.4","1556227","3011091"
"13","海上钢琴师","La leggenda del pianista sull'oceano","1998","9.3","1896537","1292001"
"14","疯狂动物城","Zootopia","2016","9.3","2350289","25662329"
"15","三傻大闹宝莱坞","3 Idiots","2009","9.2","2097889","3793023"
"16","机器人总动员","WALL·E","2008","9.3","1515601","2131459"
"17","放牛班的春天","Les choristes","2004","9.3","1488143","1291549"
"18","无间道","無間道","2002","9.3","1583150","1307914"
"19","控方证人","Witness for the Prosecution","1957","9.6","758561","1296141"
"20","寻梦环游记","Coco","2017","9.1","2019046","20495023"
"21","大话西游之大圣娶亲","西遊記大結局之仙履奇緣","1995","9.2","1726894","1292213"
"22","熔炉","도가니","2011","9.3","1044467","5912992"
"23","触不可及","Intouchables","2011","9.3","1310659","6786002"
"24","教父","The Godfather","1972","9.3","1120192","1291841"
"25","哈利·波特与魔法石","Harry Potter and the Sorcerer's Stone","2001","9.2","1442132","1295038"
"26","末代皇帝","The Last Emperor","1987","9.3","1040954","1293172"
"27","当幸福来敲门","The Pursuit of Happyness","2006","9.1","1703426","1849031"
"28","龙猫","となりのトトロ","1988","9.2","1424512","1291560"
"29","活着","活着","1994","9.3","981586","1292365"
"30","怦然心动","Flipped","2010","9.1","2070541","3319755"
"31","蝙蝠侠：黑暗骑士","The Dark Knight","2008","9.2","1208157","1851857"
"32","指环王3：王者无敌","The Lord of the Rings: The Return of the King","2003","9.3","921212","1291552"
"33","我不是药神","我不是药神","2018","9.0","2375281","26752088"
"34","乱世佳人","Gone with the Wind","1939","9.3","806130","1300267"
"35","让子弹飞","让子弹飞","2010","9.0","1938682","3742360"
"36","飞屋环游记","Up","2009","9.1","1517618","2129039"
"37","哈尔的移动城堡","ハウルの動く城","2004","9.1","1309741","1308807"
"38","十二怒汉","12 Angry Men","1957","9.4","587070","1293182"
"39","海蒂和爷爷","Heidi","2015","9.3","798362","25958717"
"40","素媛","소원","2013","9.3","784345","21937452"
"41","猫鼠游戏","Catch Me If You Can","2002","9.1","1227477","1305487"
"42","天空之城","天空の城ラピュタ","1986","9.2","1019614","1291583"
"43","鬼子来了","鬼子来了","2000","9.3","724129","1291858"
"44","摔跤吧！爸爸","Dangal","2016","9.0","1763569","26387939"
