"rank","title","year","afiid","dbid"
"1","CITIZEN KANE","1941","27624","1292288"
"2","THE GODFATHER","1972","54023","1291841"
"3","CASABLANCA","1942","27175","1296753"
"4","RAGING BULL","1980","54882","1293155"
"5","SINGIN' IN THE RAIN","1952","50652","1293460"
"6","GONE WITH THE WIND","1939","1181","1300267"
"7","LAWRENCE OF ARABIA","1962","23993","1292349"
"8","SCHINDLER'S LIST","1993","67172","1295124"
"9","VERTIGO","1958","52788","1297294"
"10","THE WIZARD OF OZ","1939","7892","1292625"
"11","CITY LIGHTS","1931","3886","1293908"
"12","THE SEARCHERS","1956","53577","1292668"
"13","STAR WARS","1977","55187","1293838"
"14","PSYCHO","1960","53260","1293181"
"15","2001: A SPACE ODYSSEY","1968","23399","1292226"
"16","SUNSET BLVD.","1950","26513","1298733"
"17","THE GRADUATE","1967","23387","1292271"
"18","THE GENERAL","1927","9303","1292778"
"19","ON THE WATERFRONT","1954","51286","1292521"
"20","IT'S A WONDERFUL LIFE","1946","27682","1293749"
"21","CHINATOWN","1974","54409","1293889"
"22","SOME LIKE IT HOT","1959","53017","1292574"
"23","THE GRAPES OF WRATH","1940","6073","1292465"
"24","E.T. THE EXTRA-TERRESTRIAL","1982","67140","1294638"
"25","TO KILL A MOCKINGBIRD","1962","22363","1297991"
"26","MR. SMITH GOES TO WASHINGTON","1939","6445","1297127"
"27","HIGH NOON","1952","53629","1298521"
"28","ALL ABOUT EVE","1950","26204","1401385"
"29","DOUBLE INDEMNITY","1944","2201","1293226"
"30","APOCALYPSE NOW","1979","67464","1292260"
"31","THE MALTESE FALCON","1941","27025","1297874"
"32","THE GODFATHER PART II","1974","54026","1299131"
"33","ONE FLEW OVER THE CUCKOO'S NEST","1975","55189","1292224"
"34","SNOW WHITE AND THE SEVEN DWARFS","1937","5865","1297756"
"35","ANNIE HALL","1977","55190","1296987"
"36","THE BRIDGE ON THE RIVER KWAI","1957","52118","1294958"
"37","THE BEST YEARS OF OUR LIVES","1946","24693","1294100"
"38","THE TREASURE OF THE SIERRA MADRE","1948","25784","1292516"
"39","DR. STRANGELOVE","1964","23082","1322848"
"40","THE SOUND OF MUSIC","1965","22305","1294408"
"41","KING KONG","1933","4005","1298593"
"42","BONNIE AND CLYDE","1967","19356","1294584"
"43","MIDNIGHT COWBOY","1969","23889","1297628"
"44","THE PHILADELPHIA STORY","1940","27639","1292840"
"45","SHANE","1953","51022","1292767"
"46","IT HAPPENED ONE NIGHT","1934","6316","1295684"
"47","A STREETCAR NAMED DESIRE","1951","53428","1293590"
"48","REAR WINDOW","1954","51318","1299080"
"49","INTOLERANCE","1916","16253","1295287"
"50","THE LORD OF THE RINGS: THE FELLOWSHIP OF THE RING","2001","53926","1291571"
"51","WEST SIDE STORY","1961","23857","1295225"
"52","TAXI DRIVER","1976","67969","1292222"
"53","THE DEER HUNTER","1978","55192","1292403"
"54","M*A*S*H","1970","23421","1292766"
"55","NORTH BY NORTHWEST","1959","52975","1295872"
"56","JAWS","1975","55193","1294941"
"57","ROCKY","1976","53862","1295742"
"58","THE GOLD RUSH","1925","9427","1298817"
"59","NASHVILLE","1975","55194","1293037"
"60","DUCK SOUP","1933","6922","1298113"
"61","SULLIVAN'S TRAVELS","1941","27051","1303416"
"62","AMERICAN GRAFFITI","1973","54306","1300106"
"63","CABARET","1972","54427","1296282"
"64","NETWORK","1976","54924","1297531"
"65","THE AFRICAN QUEEN","1951","50007","1418997"
"66","RAIDERS OF THE LOST ARK","1981","67250","1296717"
"67","WHO'S AFRAID OF VIRGINIA WOOLF?","1966","22930","1295137"
"68","UNFORGIVEN","1992","67274","1293566"
"69","TOOTSIE","1982","55197","1297737"
"70","A CLOCKWORK ORANGE","1971","54041","1292233"
"71","SAVING PRIVATE RYAN","1998","67247","1292849"
"72","THE SHAWSHANK REDEMPTION","1994","55199","1292052"
"73","BUTCH CASSIDY AND THE SUNDANCE KID","1969","20673","1297602"
"74","THE SILENCE OF THE LAMBS","1991","55200","1293544"
"75","IN THE HEAT OF THE NIGHT","1967","23257","1295480"
"76","FORREST GUMP","1994","55201","1292720"
"77","ALL THE PRESIDENT'S MEN","1976","53913","1293715"
"78","MODERN TIMES","1936","4149","1294371"
"79","THE WILD BUNCH","1969","19654","1296963"
"80","THE APARTMENT","1960","53080","1394218"
"81","SPARTACUS","1960","53291","1298366"
"82","SUNRISE","1927","12490","1295753"
"83","TITANIC","1997","55202","1292722"
"84","EASY RIDER","1969","19428","1297646"
"85","A NIGHT AT THE OPERA","1935","965","1296879"
"86","PLATOON","1986","68355","1293396"
"87","12 ANGRY MEN","1957","53690","1293182"
"88","BRINGING UP BABY","1938","6702","1297657"
"89","THE SIXTH SENSE","1999","55204","1297630"
"90","SWING TIME","1936","6906","1306624"
"91","SOPHIE'S CHOICE","1982","55227","1293077"
"92","GOODFELLAS","1990","55206","1292268"
"93","THE FRENCH CONNECTION","1971","53919","3013046"
"94","PULP FICTION","1994","55207","1291832"
"95","THE LAST PICTURE SHOW","1971","54257","1298026"
"96","DO THE RIGHT THING","1989","67050","1293958"
"97","BLADE RUNNER","1982","68260","1291839"
"98","YANKEE DOODLE DANDY","1942","27569","1295014"
"99","TOY STORY","1995","55210","1291575"
"100","BEN-HUR","1959","52827","1293150"
