"rank","title","year","bfid","dbid"
"1","Tokyo Story","1953","4ce2b6b8908e4","1291568"
"2","2001: A Space Odyssey","1968","4ce2b6b9450a5","1292226"
"2","Citizen Kane","1941","4ce2b6a7a801b","1292288"
"4","8½","1963","4ce2b6b25bb2b","1361276"
"5","Taxi Driver","1976","4ce2b6b7bc1b8","1292222"
"6","Apocalypse Now","1979","4ce2b69562aa2","1292260"
"7","Vertigo","1958","4ce2b6b9caca4","1297294"
"7","Godfather: Part I, The","1972","4ce2b6ab4237b","1291841"
"9","Mirror","1974","4ce2b6bb90873","1299248"
"10","Bicycle Thieves, The","1948","4ce2b6ae61fec","1295873"
"11","Breathless","1960","4ce2b6bfd1ebb","1353745"
"12","Raging Bull","1980","4ce2b6bf2249d","1293155"
"13","Persona","1966","4ce2b6b2deaa5","1294438"
"13","400 Blows, The","1959","4ce2b6b3b75b7","1300056"
"13","Andrei Rublev","1966","4ce2b6b7433c1","1298248"
"16","Fanny and Alexander","1984","4ce2b69415af8","1292784"
"17","Seven Samurai","1954","4ce2b6b5b6382","1295399"
"18","Rashomon","1950","4ce2b6b3ec3fe","1291879"
"19","Barry Lyndon","1975","4ce2b6bc285f7","1292472"
"19","Ordet","1955","4ce2b752105a2","1303566"
"21","Au Hasard Balthazar","1966","4ce2b6a44b82c","1401619"
"22","Modern Times","1936","4ce2b6bbbf1e2","1294371"
"22","Atalante, L'","1934","4ce2b6a439bc9","1299433"
"22","Sunrise","1927","4ce2b6b7568ee","1295753"
"22","Règle du jeu, La","1939","4ce2b6b41d658","1401261"
"26","Touch of Evil","1958","4ce2b6b8bc241","1294756"
"26","Night of the Hunter, The","1955","4ce2b6b185765","1293582"
"26","Battle of Algiers, The","1966","4ce2b6f24787d","1419005"
"26","strada, La","1954","4ce2b6b6b7aca","1292719"
"30","Stalker","1979","4ce2b6bf3bbfd","1295656"
"30","City Lights","1931","4ce2b6bbb8e51","1293908"
"30","Avventura, L'","1960","4ce2b6a6e45a7","1389923"
"30","Amarcord","1972","4ce2b6b4b0e0c","1298672"
"30","Gospel According to St Matthew, The","1964","4ce2b78292f14","1299775"
"30","Godfather: Part II, The","1974","4ce2b6ab42667","1299131"
"30","Come And See","1985","4ce2b72b62c27","1422186"
"37","Close-Up","1989","4ce2b7a39630e","1303521"
"37","Some Like It Hot","1959","4ce2b76e98a5c","1292574"
"37","dolce vita, La","1960","4ce2b6a90d39d","1293271"
"37","Passion of Joan of Arc","1927","4ce2b754db651","1293783"
"37","Playtime","1967","4ce2b6b3291db","1303543"
"37","Man Escaped, A","1956","4ce2b6a7da289","1303562"
"37","Viridiana","1961","4ce2b6b9efb3b","1303557"
"44","Once Upon a Time in the West","1968","4ce2b6a754af6","1293394"
"44","mépris, Le","1963","4ce2b6b049967","1303555"
"44","Apartment, The","1960","4ce2b6c010eb7","1394218"
"44","Hour of the Wolf","1968","4ce2b6b9ad9b2","1301151"
"48","One Flew Over the Cuckoo's Nest","1975","4ce2b6b218cee","1292224"
"48","Searchers, The","1956","4ce2b6b54abdf","1292668"
"48","Psycho","1960","4ce2b6b39fc24","1293181"
